Codificació;denominaci;Departament;membre;c_rrec_en_l_rgan_de_govern_superior;c_rrec_o_lloc_de_treball;SAC.carrec;SAC.codi_d_informaci;rgan_que_designa;SAC;nom_1;Observacions
Agència per a la Competitivitat de l’EmpresaPresident/a el/la conseller/a del departament competent en matèria d'indústriaConseller d'Empresa i Treball;Agència per a la Competitivitat de l’Empresa;EMT - Departament d'Empresa i Treball;President/a el/la conseller/a del departament competent en matèria d'indústria;President/a;Conseller d'Empresa i Treball;conseller d'Empresa i Treball;19775;;conseller d'Empresa i Treball;Miquel Samper Rodríguez;
Agència Catalana del ConsumEl/la president/a que serà el/la conseller/a del departament competent en matèria de consumConseller d'Empresa i Treball;Agència Catalana del Consum;EMT - Departament d'Empresa i Treball;El/la president/a que serà el/la conseller/a del departament competent en matèria de consum;President/a;Conseller d'Empresa i Treball;conseller d'Empresa i Treball;19775;;conseller d'Empresa i Treball;Miquel Samper Rodríguez;
Consorci Fira Internacional de BarcelonaEl/la conseller/a del Dept d’Indústria, Comerç i Turisme, que és el/la vicepresident/a primer/aConseller d'Empresa i Treball;Consorci Fira Internacional de Barcelona;EMT - Departament d'Empresa i Treball;El/la conseller/a del Dept d’Indústria, Comerç i Turisme, que és el/la vicepresident/a primer/a;Vicepresident/a primer;Conseller d'Empresa i Treball;conseller d'Empresa i Treball;19775;President/a de la Generalitat de Catalunya;conseller d'Empresa i Treball;Miquel Samper Rodríguez;
Servei Públic d'Ocupació de CatalunyaEl/la president/a, que és el/la conseller/a del departament competent en matèria d’ocupacióConseller d'Empresa i Treball;Servei Públic d'Ocupació de Catalunya;EMT - Departament d'Empresa i Treball;El/la president/a, que és el/la conseller/a del departament competent en matèria d’ocupació;President/a;Conseller d'Empresa i Treball;conseller d'Empresa i Treball;19775;;conseller d'Empresa i Treball;Miquel Samper Rodríguez;
Consorci de la inspecció de Treball i Seguretat Social de CatalunyaDepartament d'Empresa i TreballConseller d'Empresa i Treball;Consorci de la inspecció de Treball i Seguretat Social de Catalunya;EMT - Departament d'Empresa i Treball;Departament d'Empresa i Treball;President/a;Conseller d'Empresa i Treball;conseller d'Empresa i Treball;19775;;conseller d'Empresa i Treball;Miquel Samper Rodríguez;
Consorci de l'Observatori del PaisatgeAdministració de la Generalitat de CatalunyaDirector general d'Universitats;Consorci de l'Observatori del Paisatge;TER - Departament de Territori, Habitatge i Transició Ecològica;Administració de la Generalitat de Catalunya;Membre;Director general d'Universitats;director general d'Universitats;131;Titular del departament competent en matèria de coneixement;director general d'Universitats;Miquel Soriano Ibañez;
Centre d'Estudis Jurídics i Formació EspecialitzadaLa persona titular de la Direcció General d'UniversitatsDirector general d'Universitats;Centre d'Estudis Jurídics i Formació Especialitzada;JUS - Departament de Justícia i Qualitat Democràtica;La persona titular de la Direcció General d'Universitats;Vocal;Director general d'Universitats;director general d'Universitats;131;;director general d'Universitats;Miquel Soriano Ibañez;
Agència per a la Qualitat del Sistema Universitari de CatalunyaPersones del departament competent en matèria d’universitats, nomenades pel conseller corresponentDirector general d'Universitats;Agència per a la Qualitat del Sistema Universitari de Catalunya;REU - Departament de Recerca i Universitats;Persones del departament competent en matèria d’universitats, nomenades pel conseller corresponent;Membre;Director general d'Universitats;director general d'Universitats;131;;director general d'Universitats;Miquel Soriano Ibañez;
Escola d'Administració Pública de CatalunyaEl/la director/a general d'UniversitatsDirector general d'Universitats;Escola d'Administració Pública de Catalunya;PRE - Departament de la Presidència;El/la director/a general d'Universitats;Vocal;Director general d'Universitats;director general d'Universitats;131;;director general d'Universitats;Miquel Soriano Ibañez;
Consorci de Serveis Universitaris de Catalunya (CSUC)Membre nomenat pel conseller/a del departament competent en matèria d'universitatsDirector general d'Universitats;Consorci de Serveis Universitaris de Catalunya (CSUC);REU - Departament de Recerca i Universitats;Membre nomenat pel conseller/a del departament competent en matèria d'universitats;Membre;Director general d'Universitats;director general d'Universitats;131;Conseller d'Empresa i Coneixement;director general d'Universitats;Miquel Soriano Ibañez;
