Institut Cartogràfic i Geològic de Catalunya	Professionals de competència acreditada en l'àmbit d'actuació, nomenats per la presidència	Titular de la Direcció General d’Ordenació del Territori, Urbanisme i Arquitectura	18287
Institut Català del Sòl (INCASÒL)	Representants de la Generalitat que assenyali el Govern	Directora general d'Ordenació del Territori i Urbanisme	18287
Consorci de l'Observatori del Paisatge	Administració de la Generalitat de Catalunya	Director general d'Ordenació del Territori i Urbanisme	18287
Agència de l'Habitatge de Catalunya	Persones que determini el Govern en representació de la Generalitat i entitats relacionades	Director general d'Ordenació del Territori i Urbanisme	18287
Consorci per a la reforma de la Granvia i del Samontà a l'Hospitalet de Llobregat	Vocal repr dept en mat d'ord del territ i urban amb rang orgànic mín director/a g, o d'un altre dept	Director General d'Ordenació del Territori i Urbanisme	18287
Agència de Residus de Catalunya	Representants de la Generalitat	Secretari de Salut Pública del Departament de Salut	19029
Centre d'Alt Rendiment Esportiu (CAR)	Una representant del dpt. competent en matèria de salut amb rang orgànic mínim de direcció general	Secretari de Salut Pública del Departament de Salut	19029
Autoritat del Transport Metropolità, Consorci per a la coordinació del sistema metropolità del transport públic de l'àrea de Barcelona	Vocals en representació de la Generalitat de Catalunya	Directora general de Pressupostos de la Generalitat de Catalunya	1300
Fundació Privada I2CAT, Internet i Innovació Digital a Catalunya	Vicepresident/a segon/a. Secretari/ària General competent en telecomunicacions i polítiques digitals	Secretària General del Departament de la Presidència	14
Servei Públic d'Ocupació de Catalunya	El/la vicepresident/a, que és el/la secretari/ària competent en matèria d’ocupació	Secretari de Treball del Departament d'Empresa i Treball	21662
Centre d'Estudis Jurídics i Formació Especialitzada	Alts càrrecs del Departament de Justícia, designats per la persona que n'exerceix la presidència.	Secretària per a l'Administració de Justícia del Departament de Justícia, Drets i Memòria	15771
Agència Catalana del Consum	El/la director/a nomenat pel Govern, a proposta del conseller/a del dept. matèria de consum	Director de l'Agència Catalana del Consum	14299
Agència de l'Habitatge de Catalunya	Persones que determini el Govern en representació de la Generalitat i entitats relacionades	Director de l'Agència Catalana del Consum	14299
Institut per al Desenvolupament de les Comarques de l'Ebre (IDECE)	La vicepresidència segona, designada pel president/a entre les persones repr. de la Generalitat	Titular de la Secretaria d'Empresa i Competitivitat	19035
Consorci Casa Àsia	Membre en representació de la Generalitat de Catalunya	Conseller d'Acció Exterior i Govern Obert	19769
Agència Catalana de Cooperació al Desenvolupament	President/a, que és la persona titular del departament competent en matèria d'acció exterior.	Conseller d'Acció Exterior i Govern Obert	19769
Consorci Catalunya Internacional	La Vicepresidència, que correspon a la persona titular del departament competent en l'àmbit de l'acc	Conseller del Departament d’Unió Europea i Acció Exterior	19769
Consorci Institut Europeu de la Mediterrània	Vicepresident/a 3r que serà designat/da per l'Administració de la Generalitat de Catalunya	Conseller d'Acció Exterior i Govern Obert	19769
Consorci de l'Habitatge de Barcelona	Membre en representació de la Generalitat de Catalunya	Subdirector General de Promoció d’Habitatge Protegit i de Sòl Residencial Associat de l’AHC	14181
Fundació Institut d’Investigació Biomèdica de Girona Dr. Josep Trueta (IdIBGI)	Membre designat per la persona titular del departament competent en matèria de salut	Gerent de la Regió Sanitària de Girona del SCS	3056
Institut Cartogràfic i Geològic de Catalunya	Professionals de competència acreditada en l'àmbit d'actuació, nomenats per la presidència	Director de l'Institut Català de Sòl	3738
Fundació Catalana per a la Recerca i la Innovació (FCRi)	Patró designat pel/per la titular departament de la Generalitat competent en recerca, innov.i uni	Director general de transferència i societat del coneixement	21650
Agència de Gestió d'Ajuts Universitaris i de Recerca (AGAUR)	Fins a un màxim de cinc vocals designats pel conseller/a del departament competent en universitats	Director general de Transferència i Societat del Coneixement	21650
Agència per a la Competitivitat de l’Empresa	Vocal a proposta del departament competent en matèria de recerca	Director general de Transferència i Societat del Coneixement	21650
Institut de Recerca Biomèdica de Lleida, Fundació Dr. Pifarré	Membre designat pel titular del departament de la Generalitat competent en matèria de recerca	Director general de Transferència i Societat del Coneixement	21650
Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de Catalunya	El/la president/a, que és la persona titular de la Secretaria del Govern	Secretari de Govern	10828
Institut Català de la Vinya i el Vi	El/la director/a de l'Institut	Director de l'Institut Català de la Vinya i el Vi	4450
Institut Català de les Empreses Culturals	Vocal en representació del departament competent en matèria d'indústria i de comerç	Director executiu d'ACCIÓ	22091
Consorci del Centre de Terminologia Termcat	President/a, que és el/la secretari/ària de Política Lingüística o persona en qui delegui	Secretari general del Departament de Política Lingüística	23515
Consorci de l'Institut Ramon Llull	Representants de l'Administració de la Generalitat de Catalunya designats pel Govern	Secretari General del Departament de Política Lingüistica	23515
Oficina de Suport a la Iniciativa Cultural	Persones representants direccions generals en què s'estructura departament comp en matèria cultura	Secretari general del Departament de Política Lingüística	23515
Consorci Museu d'Art Contemporani de Barcelona	Vocals designats per la Generalitat de Catalunya	Director general de Patrimoni Cultural	2284
Oficina de Suport a la Iniciativa Cultural	Persones representants direccions generals en què s'estructura departament comp en matèria cultura	Director general de Patrimoni Cultural	2284
Consorci del Museu de Ciències Naturals de Barcelona	Departament de Cultura	Director general de Patrimoni Cultural	2284
Consorci del Museu de Lleida, Diocesà i Comarcal	Persones representants de la Generalitat,designades pel/per la titular del dep. competent en cultura	Director general de Patrimoni Cultural	2284
Consorci del Turó de la Seu Vella de Lleida	Departament de Cultura	Director general de Patrimoni Cultural	2284
Consorci Patrimoni Mundial de la Vall de Boí	Persona representant de l'Agència Catalana de Patrimoni Cultural	Director general de Patrimoni Cultural	2284
Institut Català d'Arqueologia Clàssica	Vocal que serà el director general competent en matèria de patrimoni cultural	Director general de Patrimoni Cultural	2284
Consorci Museu Nacional d'Art de Catalunya	Vocals nomenats per la Generalitat de Catalunya	Director general de Patrimoni Cultural	2284
Biblioteca de Catalunya	Vocals proposats pel/per la director/a general competent en matèria de patrimoni cultural	Director General de Patrimoni Cultural	2284
Fundació Catalana per a la Recerca i la Innovació (FCRi)	Patró designat pel/per la titular departament de la Generalitat competent en recerca, innov.i uni	Director de la Unitat de Transformació, Tecnologia i Disrupció d’ACCIÓ	22093
Consorci del Centre de Terminologia Termcat	El/la director/a del termcat, que exerceix les funcions de secretari/ària, amb veu però sense vot	Director del Centre de Terminologia Termcat	2770
Institut Català d'Energia (ICAEN)	Vocals en representació de l’Administració de la Generalitat	Direcció General d’Habitatge	23484
Fundació Privada Institut de Tecnologia de la Construcció de Catalunya (ITeC)	Un membre designat per la persona titular del dept. competent en matèria d’habitatge	Director de Qualitat de l'Edificació i Rehabilitació de l'Habitatge de l'Agència de l'Habitatge de C	14182
Agència Catalana de l'Aigua (ACA)	Representant del departament d’adscripció de l’Agència Catalana de l’Aigua	Titular de la Secretaria General del Departament de Territori, Habitatge i Transició Ecològica	3399
Consorci de l'Observatori del Paisatge	Administració de la Generalitat de Catalunya	Subdirector general d'Actuacions Urbanístiques	19969
Consorci de l'Habitatge de l'Àrea Metropolitana de Barcelona	Membres designats pel govern a proposta de la persona titular del dep.competent en habitatge	Subdirector General d’Habitatge	3689
